order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
o101,c101,delivered,2018-01-03 00:00:00,2018-01-03 01:00:00,2018-01-04 00:00:00,2018-01-06 00:00:00,2018-01-07 00:00:00
o102,c102,delivered,2018-01-06 00:00:00,2018-01-06 01:00:00,2018-01-07 00:00:00,2018-01-09 00:00:00,2018-01-10 00:00:00
o103,c103,delivered,2018-01-09 00:00:00,2018-01-09 01:00:00,2018-01-10 00:00:00,2018-01-15 00:00:00,2018-01-13 00:00:00
o104,c104,delivered,2018-01-12 00:00:00,2018-01-12 01:00:00,2018-01-13 00:00:00,2018-01-15 00:00:00,2018-01-16 00:00:00
o105,c105,delivered,2018-01-15 00:00:00,2018-01-15 01:00:00,2018-01-16 00:00:00,2018-01-18 00:00:00,2018-01-19 00:00:00
o106,c106,delivered,2018-01-18 00:00:00,2018-01-18 01:00:00,2018-01-19 00:00:00,2018-01-24 00:00:00,2018-01-22 00:00:00
o107,c107,shipped,2018-01-21 00:00:00,2018-01-21 01:00:00,2018-01-22 00:00:00,,2018-01-25 00:00:00
o108,c108,canceled,2018-01-24 00:00:00,2018-01-24 01:00:00,2018-01-25 00:00:00,,2018-01-28 00:00:00
o201,c201,delivered,2018-02-03 00:00:00,2018-02-03 01:00:00,2018-02-04 00:00:00,2018-02-06 00:00:00,2018-02-07 00:00:00
o202,c202,delivered,2018-02-06 00:00:00,2018-02-06 01:00:00,2018-02-07 00:00:00,2018-02-09 00:00:00,2018-02-10 00:00:00
o203,c203,delivered,2018-02-09 00:00:00,2018-02-09 01:00:00,2018-02-10 00:00:00,2018-02-15 00:00:00,2018-02-13 00:00:00
o204,c204,delivered,2018-02-12 00:00:00,2018-02-12 01:00:00,2018-02-13 00:00:00,2018-02-15 00:00:00,2018-02-16 00:00:00
o205,c205,delivered,2018-02-15 00:00:00,2018-02-15 01:00:00,2018-02-16 00:00:00,2018-02-18 00:00:00,2018-02-19 00:00:00
o206,c206,delivered,2018-02-18 00:00:00,2018-02-18 01:00:00,2018-02-19 00:00:00,2018-02-24 00:00:00,2018-02-22 00:00:00
o207,c207,shipped,2018-02-21 00:00:00,2018-02-21 01:00:00,2018-02-22 00:00:00,,2018-02-25 00:00:00
o208,c208,canceled,2018-02-24 00:00:00,2018-02-24 01:00:00,2018-02-25 00:00:00,,2018-02-28 00:00:00
o301,c301,delivered,2018-03-03 00:00:00,2018-03-03 01:00:00,2018-03-04 00:00:00,2018-03-06 00:00:00,2018-03-07 00:00:00
o302,c302,delivered,2018-03-06 00:00:00,2018-03-06 01:00:00,2018-03-07 00:00:00,2018-03-09 00:00:00,2018-03-10 00:00:00
o303,c303,delivered,2018-03-09 00:00:00,2018-03-09 01:00:00,2018-03-10 00:00:00,2018-03-15 00:00:00,2018-03-13 00:00:00
o304,c304,delivered,2018-03-12 00:00:00,2018-03-12 01:00:00,2018-03-13 00:00:00,2018-03-15 00:00:00,2018-03-16 00:00:00
o305,c305,delivered,2018-03-15 00:00:00,2018-03-15 01:00:00,2018-03-16 00:00:00,2018-03-18 00:00:00,2018-03-19 00:00:00
o306,c306,delivered,2018-03-18 00:00:00,2018-03-18 01:00:00,2018-03-19 00:00:00,2018-03-24 00:00:00,2018-03-22 00:00:00
o307,c307,shipped,2018-03-21 00:00:00,2018-03-21 01:00:00,2018-03-22 00:00:00,,2018-03-25 00:00:00
o308,c308,canceled,2018-03-24 00:00:00,2018-03-24 01:00:00,2018-03-25 00:00:00,,2018-03-28 00:00:00
o101,c101,delivered,2018-01-03 00:00:00,2018-01-03 01:00:00,2018-01-04 00:00:00,2018-01-06 00:00:00,2018-01-07 00:00:00
