customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
c101,u1,01000,city1,SP
c102,u2,02000,city2,RJ
c103,u3,03000,city3,MG
c104,u4,01000,city1,SP
c105,u5,02000,city2,RJ
c106,u6,03000,city3,MG
c107,u7,01000,city1,SP
c108,u8,02000,city2,RJ
c201,u1,01000,city1,SP
c202,u2,02000,city2,RJ
c203,u3,03000,city3,MG
c204,u4,01000,city1,SP
c205,u5,02000,city2,RJ
c206,u6,03000,city3,MG
c207,u7,01000,city1,SP
c208,u8,02000,city2,RJ
c301,u1,01000,city1,SP
c302,u2,02000,city2,RJ
c303,u3,03000,city3,MG
c304,u4,01000,city1,SP
c305,u5,02000,city2,RJ
c306,u6,03000,city3,MG
c307,u7,01000,city1,SP
c308,u8,02000,city2,RJ
