order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
missing_order,1,p1,s1,2018-01-05 00:00:00,10,2
o102,1,p2,s2,2018-01-08 00:00:00,20,2
o102,2,p3,s2,2018-01-08 00:00:00,30,2
o103,1,p3,s3,2018-01-11 00:00:00,30,2
o104,1,p4,s1,2018-01-14 00:00:00,40,2
o104,2,p5,s1,2018-01-14 00:00:00,50,2
o105,1,p5,s2,2018-01-17 00:00:00,50,2
o106,1,p6,s3,2018-01-20 00:00:00,60,2
o106,2,p1,s3,2018-01-20 00:00:00,70,2
o107,1,p1,s1,2018-01-23 00:00:00,70,2
o108,1,p2,s2,2018-01-26 00:00:00,80,2
o108,2,p3,s2,2018-01-26 00:00:00,90,2
o201,1,p1,s1,2018-02-05 00:00:00,5,2
o202,1,p2,s2,2018-02-08 00:00:00,10,2
o202,2,p3,s2,2018-02-08 00:00:00,15,2
o203,1,p3,s3,2018-02-11 00:00:00,15,2
o204,1,p4,s1,2018-02-14 00:00:00,20,2
o204,2,p5,s1,2018-02-14 00:00:00,25,2
o205,1,p5,s2,2018-02-17 00:00:00,25,2
o206,1,p6,s3,2018-02-20 00:00:00,30,2
o206,2,p1,s3,2018-02-20 00:00:00,35,2
o207,1,p1,s1,2018-02-23 00:00:00,35,2
o208,1,p2,s2,2018-02-26 00:00:00,40,2
o208,2,p3,s2,2018-02-26 00:00:00,45,2
o301,1,p1,s1,2018-03-05 00:00:00,8,2
o302,1,p2,s2,2018-03-08 00:00:00,16,2
o302,2,p3,s2,2018-03-08 00:00:00,24,2
o303,1,p3,s3,2018-03-11 00:00:00,24,2
o304,1,p4,s1,2018-03-14 00:00:00,32,2
o304,2,p5,s1,2018-03-14 00:00:00,40,2
o305,1,p5,s2,2018-03-17 00:00:00,40,2
o306,1,p6,s3,2018-03-20 00:00:00,48,2
o306,2,p1,s3,2018-03-20 00:00:00,56,2
o307,1,p1,s1,2018-03-23 00:00:00,56,2
o308,1,p2,s2,2018-03-26 00:00:00,64,2
o308,2,p3,s2,2018-03-26 00:00:00,72,2
