order_id,payment_sequential,payment_type,payment_installments,payment_value
o101,1,credit_card,1,12
o102,1,credit_card,1,27.0
o102,2,voucher,1,27.0
o103,1,credit_card,1,32
o104,1,credit_card,1,94
o105,1,credit_card,1,52
o106,1,credit_card,1,134
o107,1,credit_card,1,72
o108,1,credit_card,1,174
o201,1,credit_card,1,7
o202,1,credit_card,1,14.5
o202,2,voucher,1,14.5
o203,1,credit_card,1,17
o204,1,credit_card,1,49
o205,1,credit_card,1,27
o206,1,credit_card,1,69
o207,1,credit_card,1,37
o208,1,credit_card,1,89
o301,1,credit_card,1,10
o302,1,credit_card,1,22.0
o302,2,voucher,1,22.0
o303,1,credit_card,1,26
o304,1,credit_card,1,76
o305,1,credit_card,1,42
o306,1,credit_card,1,108
o307,1,credit_card,1,58
o308,1,credit_card,1,140
