review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
r11,o101,2,,,2018-01-06 00:00:00,2018-01-07 00:00:00
r12,o102,3,,,2018-01-09 00:00:00,2018-01-10 00:00:00
r13,o103,4,,,2018-01-15 00:00:00,2018-01-16 00:00:00
r14,o104,5,,,2018-01-15 00:00:00,2018-01-16 00:00:00
r15,o105,1,,,2018-01-18 00:00:00,2018-01-19 00:00:00
r16,o106,2,,,2018-01-24 00:00:00,2018-01-25 00:00:00
r21,o201,2,,,2018-02-06 00:00:00,2018-02-07 00:00:00
r22,o202,3,,,2018-02-09 00:00:00,2018-02-10 00:00:00
r23,o203,4,,,2018-02-15 00:00:00,2018-02-16 00:00:00
r24,o204,5,,,2018-02-15 00:00:00,2018-02-16 00:00:00
r25,o205,1,,,2018-02-18 00:00:00,2018-02-19 00:00:00
r26,o206,2,,,2018-02-24 00:00:00,2018-02-25 00:00:00
r31,o301,2,,,2018-03-06 00:00:00,2018-03-07 00:00:00
r32,o302,3,,,2018-03-09 00:00:00,2018-03-10 00:00:00
r33,o303,4,,,2018-03-15 00:00:00,2018-03-16 00:00:00
r34,o304,5,,,2018-03-15 00:00:00,2018-03-16 00:00:00
r35,o305,1,,,2018-03-18 00:00:00,2018-03-19 00:00:00
